clusters,,0,1,2
52,준비운동,"('동적 스트레칭 루틴프로그램', 754)","('전신 루틴 스트레칭', 614)","('유산소 운동 전 동적 루틴 스트레칭', 538)"
52,본운동,"('앉았다 일어서기', 1508)","('엎드려 버티기', 878)","('달리기', 786)"
52,마무리운동,"('정적 스트레칭  루틴프로그램', 622)","('전신 루틴 스트레칭', 560)","('하지 루틴 스트레칭2', 445)"
53,준비운동,"('동적 스트레칭 루틴프로그램', 616)","('다리 벌려 옆으로 상체 숙이기', 470)","('다리 벌려 앞으로 상체 숙이기', 438)"
53,본운동,"('앉았다 일어서기', 866)","('윗몸말아올리기', 580)","('1단 줄넘기', 511)"
53,마무리운동,"('정적 스트레칭  루틴프로그램', 612)","('전신 루틴 스트레칭', 251)","('발목 얹고 다리 잡아당기기', 183)"
54,준비운동,"('전신 루틴 스트레칭', 115)","('유산소 운동 전 동적 루틴 스트레칭', 105)","('동적 스트레칭 루틴프로그램', 98)"
54,본운동,"('앉았다 일어서기', 228)","('엎드려 버티기', 177)","('윗몸올리기', 156)"
54,마무리운동,"('전신 루틴 스트레칭', 126)","('하지 루틴 스트레칭2', 92)","('정적 스트레칭  루틴프로그램', 92)"
55,준비운동,"('유산소 운동 전 동적 루틴 스트레칭', 364)","('전신 루틴 스트레칭', 340)","('하지 루틴 스트레칭1', 284)"
55,본운동,"('앉았다 일어서기', 580)","('엎드려 버티기', 458)","('윗몸올리기', 421)"
55,마무리운동,"('전신 루틴 스트레칭', 328)","('하지 루틴 스트레칭1', 216)","('상지 루틴 스트레칭', 208)"
56,준비운동,"('유산소 운동 전 동적 루틴 스트레칭', 151)","('전신 루틴 스트레칭', 128)","('상지 루틴 스트레칭', 114)"
56,본운동,"('앉았다 일어서기', 323)","('엎드려 버티기', 257)","('윗몸올리기', 253)"
56,마무리운동,"('전신 루틴 스트레칭', 161)","('상지 루틴 스트레칭', 102)","('하지 루틴 스트레칭2', 88)"
57,준비운동,"('전신 루틴 스트레칭', 154)","('유산소 운동 전 동적 루틴 스트레칭', 147)","('걷기', 101)"
57,본운동,"('앉았다 일어서기', 293)","('윗몸올리기', 219)","('엎드려 버티기', 212)"
57,마무리운동,"('전신 루틴 스트레칭', 150)","('상지 루틴 스트레칭', 95)","('하지 루틴 스트레칭2', 78)"
58,준비운동,"('전신 루틴 스트레칭', 404)","('걷기', 338)","('유산소 운동 전 동적 루틴 스트레칭', 306)"
58,본운동,"('앉았다 일어서기', 561)","('엎드려 버티기', 443)","('달리기', 411)"
58,마무리운동,"('전신 루틴 스트레칭', 345)","('정적 스트레칭  루틴프로그램', 258)","('상지 루틴 스트레칭', 222)"
59,준비운동,"('전신 루틴 스트레칭', 197)","('유산소 운동 전 동적 루틴 스트레칭', 181)","('하지 루틴 스트레칭1', 139)"
59,본운동,"('엎드려 버티기', 265)","('앉았다 일어서기', 263)","('윗몸올리기', 231)"
59,마무리운동,"('전신 루틴 스트레칭', 172)","('하지 루틴 스트레칭2', 118)","('하지 루틴 스트레칭1', 113)"
